"Service Name","Service Dependencies","","","Criticality and Reliability Metrics",""
"","In-Degrees","Out-Degrees","Absolute Importance of the Service (AIS)","Absolute Dependence of the Service (ADS)","Absolute Criticality of the Service (ACS)"
"ts-admin-user-service.default","1","1","1","1","1"
"ts-assurance-mongo.default","1","0","1","0","0"
"ts-assurance-service.default","1","1","1","1","1"
"ts-auth-mongo.default","1","0","1","0","0"
"ts-auth-service.default","2","1","2","1","2"
"ts-basic-service.default","1","4","1","4","4"
"ts-cancel-service.default","1","4","1","4","4"
"ts-config-mongo.default","1","0","1","0","0"
"ts-config-service.default","1","1","1","1","1"
"ts-consign-price-service.default","1","0","1","0","0"
"ts-consign-service.default","1","1","1","1","1"
"ts-contacts-mongo.default","1","0","1","0","0"
"ts-contacts-service.default","2","1","2","1","2"
"ts-food-map-mongo.default","1","0","1","0","0"
"ts-food-map-service.default","2","1","2","1","2"
"ts-food-mongo.default","1","0","1","0","0"
"ts-food-service.default","2","5","2","5","10"
"ts-inside-payment-service.default","2","2","2","2","4"
"ts-order-other-mongo.default","1","0","1","0","0"
"ts-order-other-service.default","1","1","1","1","1"
"ts-order-service.default","9","1","9","1","9"
"ts-payment-service.default","1","0","1","0","0"
"ts-preserve-service.default","1","9","1","9","9"
"ts-price-mongo.default","1","0","1","0","0"
"ts-price-service.default","1","1","1","1","1"
"ts-route-service.default","2","0","2","0","0"
"ts-seat-service.default","2","4","2","4","8"
"ts-security-mongo.default","1","0","1","0","0"
"ts-security-service.default","1","3","1","3","3"
"ts-station-mongo.default","1","0","1","0","0"
"ts-station-service.default","4","1","4","1","4"
"ts-ticket-office-mongo.default","1","0","1","0","0"
"ts-ticket-office-service.default","0","1","0","1","0"
"ts-ticketinfo-service.default","2","1","2","1","2"
"ts-train-mongo.default","1","0","1","0","0"
"ts-train-service.default","2","1","2","1","2"
"ts-travel-mongo.default","1","0","1","0","0"
"ts-travel-service.default","5","6","5","6","30"
"ts-travel2-mongo.default","1","0","1","0","0"
"ts-travel2-service.default","0","1","0","1","0"
"ts-ui-dashboard.default","0","12","0","12","0"
"ts-user-mongo.default","1","0","1","0","0"
"ts-user-service.default","3","2","3","2","6"
"ts-voucher-mysql.default","1","0","1","0","0"
"ts-voucher-service.default","1","2","1","2","2"
